id,state,location,mobile_orders,Catering,Pickup,Delivery,WiFi,Playground,breakfast_served,drive_thru,sandwich_price
665,fl,Waterford Lakes Town Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.09
666,fl,Waters Ave.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.09
667,fl,Wells Road,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.95
668,fl,Wesley Chapel (FL),Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,4.95
669,fl,West Boca,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,5.09
670,fl,West Boynton Beach,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,5.19
671,fl,West Hillsborough,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,5.09
672,fl,West Tennessee Street,Yes,No,No,No,Yes,No,Yes,Yes,4.89
673,fl,Westfield Brandon,Yes,Yes,Yes,Yes,Yes,No,No,No,5.25
674,fl,Westfield Citrus Park,Yes,Yes,Yes,Yes,Yes,No,No,No,5.25
675,fl,Westfield Countryside Mall,Yes,Yes,Yes,No,Yes,No,No,No,4.65
676,fl,Weston,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,5.25
677,fl,Westshore Plaza,Yes,Yes,Yes,Yes,No,No,No,No,5.25
678,fl,Winter Garden,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.09
679,fl,Winter Haven,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.95
680,fl,Zephyrhills,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.95
681,ga,Abercorn,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.85
682,ga,Acworth,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.85
683,ga,Akers Mill Drive-Thru Only,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.85
684,ga,Albany,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,4.75
685,ga,Albany State University,No,No,No,No,No,No,No,No,
686,ga,Alpharetta Commons,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.85
687,ga,Americus [GA],Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.75
688,ga,Arbor Place,Yes,Yes,Yes,Yes,Yes,No,Yes,No,5.09
689,ga,AT&T Center,Yes,Yes,Yes,Yes,Yes,No,Yes,No,5.09
690,ga,Athens/Atlanta Highway,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.79
691,ga,Atlanta - Faulkner Road LBM,No,No,No,No,No,No,No,No,
